10	12200
5	200
48	500
64	300
9	22200
9	300
16	300
32	300
64	200
30	4900
48	700
48	200
40	3000
16	200
64	700
640	1600
192	500
56	300
24	100
9	200
12	200
9	100
8	200
16	200
32	300
10	200
20	200
40	100
8	500
424	1400
8	2900
48	500
52	900
32	500
12	1100
24	500
48	500
10	1100
20	400
40	800
24	1800
15	500
17	200
27	700
22	200
17	100
22	200
21	100
16	100
26	200
26	100
26	200
29	100
29	100
18	100
22	100
15	100
23	100
26	100
14	200
19	600
20	200
18	100
19	200
19	200
19	100
20	100
20	100
809	2300
148	1000
16	1000
32	1000
10	300
20	200
40	300
22	700
16	300
15	100
25	900
13	600
20	400
25	300
21	900
13	300
17	100
18	100
18	100
19	200
23	200
30	300
18	400
19	300
20	400
22	300
19	200
14	100
15	100
14	300
18	100
15	400
24	300
18	300
19	200
20	100
13	100
16	400
24	300
25	1000
17	400
12	400
20	300
21	300
13	300
18	400
23	300
13	500
16	600
16	200
25	400
30	400
13	300
8	500
18	200
21	200
16	200
16	200
16	200
17	200
13	200
13	200
14	200
23	200
26	400
26	200
26	800
26	400
27	400
15	400
16	500
19	200
17	400
14	500
12	200
13	500
12	100
13	100
12	100
13	300
16	400
23	300
23	600
23	200
26	400
26	600
26	300
30	600
30	200
30	400
20	400
19	300
25	800
17	400
17	600
20	200
20	200
20	600
24	300
24	400
24	200
16	300
21	300
16	200
25	1100
16	300
22	200
17	300
15	13900
23	200
17	200
27	500
21	400
11	400
23	500
22	600
21	300
16	200
21	300
16	400
25	700
16	300
22	200
17	200
15	300
13	400
17	300
27	300
21	200
12	300
12	500
13	600
19	300
20	500
14	200
15	200
10	300
27	600
27	400
11	300
18	300
26	300
13	500
21	300
22	300
34	600
13	200
14	200
15	200
25	300
23	200
24	400
36	300
34	200
46	500
20	300
30	300
24	300
33	400
30	300
39	300
9	200
26	300
26	300
10	200
23	400
11	200
18	300
23	200
12	100
9	200
8	600
25	400
30	300
24	300
26	300
21	200
23	500
23	200
23	300
26	300
12	200
13	200
18	200
22	200
13	300
19	200
14	200
14	300
24	300
18	200
17	300
24	200
33	400
18	200
26	300
33	500
31	300
19	300
28	200
26	400
23	300
22	100
21	400
20	400
16	200
14	400
25	700
23	400
20	100
19	500
24	200
28	300
31	500
21	300
15	100
13	100
11	600
14	200
12	200
19	400
22	200
38	400
28	300
25	400
18	500
16	300
16	400
14	300
24	300
22	600
19	400
30	1600
28	300
25	200
24	100
43	500
33	300
34	300
17	200
20	200
14	200
19	200
20	200
24	200
28	600
23	200
26	200
29	200
34	300
25	400
23	200
20	500
15	300
27	200
25	400
28	300
26	200
20	600
21	200
19	300
22	200
20	500
13	300
29	600
25	300
26	600
24	400
24	400
19	400
27	300
18	500
14	300
12	100
13	100
21	300
31	700
12	400
14	300
25	200
25	200
21	600
22	100
20	200
20	500
18	400
29	300
29	300
25	300
26	200
24	300
24	200
21	500
30	300
28	200
26	200
25	400
23	300
20	200
21	200
26	300
15	200
15	300
15	300
16	100
28	400
26	200
19	400
21	500
22	500
21	200
26	300
20	200
20	500
20	400
17	300
25	400
24	100
16	100
12	100
12	100
12	100
13	0
17	100
18	100
18	100
21	100
22	200
15	100
16	100
16	100
16	100
17	100
7	300
23	200
26	200
24	100
33	200
36	100
27	100
21	100
24	100
11	100
12	300
13	300
16	300
12	300
20	200
10	200
17	100
12	100
11	100
9	100
12	100
22	100
16	100
12	200
14	200
10	100
12	500
17	300
17	600
22	600
16	300
24	2700
19	500
18	400
26	700
20	200
30	600
28	400
20	300
21	600
20	600
21	300
20	400
21	300
20	500
21	300
18	400
21	300
21	200
29	300
30	600
29	200
29	200
31	100
26	100
31	100
27	100
38	200
13	300
14	200
14	100
17	200
19	100
18	100
25	200
14	100
14	100
18	100
19	200
18	100
19	100
12	100
14	200
16	100
16	100
24	100
16	100
20	100
19	200
20	100
19	100
20	100
19	100
20	100
20	100
21	100
19	100
20	100
19	100
20	100
19	100
20	100
20	100
21	100
19	200
20	200
19	100
20	100
19	100
20	100
20	100
21	100
19	200
20	100
19	200
20	100
19	100
20	100
20	100
21	100
26	100
